,author,category,content,published_date,title
0,Krishna Veera Vanamali,business,"Former Infosys CEO Vishal Sikka, who launched his AI startup Vianai Systems in September, has been named to Oracle's board of directors. Before joining Infosys as its first non-founder CEO in 2014, Sikka worked at German software company SAP. ""Vishal is one the world's leading experts in Artificial Intelligence and Machine Learning,"" Oracle Co-Founder, Chairman and CTO Larry Ellison said.",2019-12-10T11:43:31.000Z,Ex-Infosys CEO Vishal Sikka joins Oracle board after launching AI startup
1,Kanishka Pandey,business,"Google and its parent organisation Alphabet's CEO Sundar Pichai took to Twitter to welcome 2018 Chemistry Nobel Prize winner Frances Arnold to the parent entity's board. ""Frances brings incredible academic and industry expertise with a career spanning chemistry, engineering, renewable energy and more,"" tweeted Pichai. Arnold won the Nobel ""for the directed evolution of enzymes"".",2019-12-10T03:28:37.000Z,Sundar Pichai-led Alphabet adds Nobel laureate Frances Arnold to board
2,Kanishka Pandey,business,"Jeff Bezos-led Amazon filed a complaint accusing US President Donald Trump of exerting ""improper pressure"" and bias over Pentagon's $10-billion JEDI defence contract. Trump ""launched repeated public and behind-the-scenes attacks to steer JEDI Contract away from [Amazon] to harm his perceived political enemy-Jeffrey P Bezos,"" alleged Amazon. The e-commerce giant had lost the contract to Microsoft.",2019-12-10T04:25:57.000Z,Trump interfered with $10 bn JEDI contract to harm CEO Bezos: Amazon
3,Pragya Swastik,business,"Mahindra Group Chairman Anand Mahindra on Monday took to Twitter to share a shayari (couplet) revolving around mobile phones and credited poet Gulzar for penning it down. However, several users pointed out that Gulzar was not behind the couplet. A user also posted a screengrab showing the couplet on Facebook Page 'NotByGulzar' that documents poetry wrongly credited to Gulzar.",2019-12-09T12:34:26.000Z,"Mahindra credits Gulzar for shayari on mobile, people say it's not by the poet"
4,Krishna Veera Vanamali,business,"Crisil has said the recent tariff hikes by telecom operators can potentially double the industry's operating profit to ₹60,570 crore in 2020-21 from ₹29,450 crore last fiscal. The rating agency added the hikes are a ""good opportunity"" for the industry to repair its financials and become sustainable. Airtel, Reliance Jio and Vodafone Idea increased tariffs by up to 40%.",2019-12-10T09:51:28.000Z,"Tariff hikes can double telcos' operating profit to ₹60,570 crore: Crisil"
5,Krishna Veera Vanamali,business,"Lodha Group Chairman and BJP MLA Mangal Prabhat Lodha topped the GROHE Hurun India Real Estate Rich List 2019 with a wealth of ₹31,960 crore. He is followed by DLF Vice Chairman Rajiv Singh and Embassy Group Chairman Jitendra Virwani. Smita V Crishna of Godrej Properties featured as the richest woman in the list with a wealth of ₹3,560 crore.",2019-12-10T12:32:28.000Z,Who are India's richest real estate tycoons according to Hurun?
6,Krishna Veera Vanamali,business,"Chief Economic Adviser Krishnamurthy Subramanian has said corporate tax rate cuts are necessary but not sufficient to attract investments. ""We need more reforms to enhance productivity...The steps being taken are articulating this vision that we need reforms to unshackle the entrepreneurial spirit of India,"" Subramanian added. He attributed the current slowdown to a decline in private investment.",2019-12-10T15:39:25.000Z,Corporate tax cuts not sufficient to attract investments: CEA Subramanian
7,Krishna Veera Vanamali,business,"Erwin Singh Braich, who offered to invest $1.2 billion in Yes Bank along with partner SPGP Holdings, claimed he is Canada's richest man. The 63-year-old added Netflix and Amazon want to do a four-season series on him and his father Herman Singh Braich. He hasn't owned a home since the 1990s, choosing to live and work out of hotel rooms.",2019-12-10T13:36:21.000Z,"I'm Canada's richest man, Netflix and Amazon want to do series on me: Braich"
8,Pragya Swastik,business,"Tata Sons Chairman Emeritus Ratan Tata in an interview to YourStory said that he wanted to relearn to play the piano after his retirement as the company's Chairman. He said he wanted to buy a ""proper piano"" but bought an electronic one after seeing their prices. He added that learning to play the piano requires a lot of hard work.",2019-12-09T10:34:12.000Z,I wanted to buy a proper piano until I saw the price list: Ratan Tata
9,Pragya Swastik,business,"Walmart has apologised for several adult-themed 'ugly' Christmas sweaters on its Canada website including one that showed Santa Claus with cocaine, and another one that showed Santa near a fireplace without his pants. ""These sweaters, sold by a third-party seller on Walmart, do not represent Walmart's values,"" a company spokesperson said. The sweaters were later removed from Walmart's website.",2019-12-09T09:45:59.000Z,Walmart apologises for sweaters showing Santa with cocaine in Canada
